"201304",,"836","0"
"201304","BRONX","341","0"
"201304","BROOKLYN","853","3"
"201304","MANHATTAN","703","0"
"201304","QUEENS","733","1"
"201304","STATEN ISLAND","193","0"
"201305",,"807","0"
"201305","BRONX","365","1"
"201305","BROOKLYN","911","2"
"201305","MANHATTAN","730","2"
"201305","QUEENS","711","3"
"201305","STATEN ISLAND","167","1"
"201306",,"776","0"
"201306","BRONX","419","0"
"201306","BROOKLYN","879","0"
"201306","MANHATTAN","688","3"
"201306","QUEENS","758","1"
"201306","STATEN ISLAND","196","0"
"201307",,"824","1"
"201307","BRONX","388","1"
"201307","BROOKLYN","848","1"
"201307","MANHATTAN","719","0"
"201307","QUEENS","708","2"
"201307","STATEN ISLAND","184","0"
"201308",,"756","1"
"201308","BRONX","341","0"
"201308","BROOKLYN","769","2"
"201308","MANHATTAN","703","1"
"201308","QUEENS","614","2"
"201308","STATEN ISLAND","178","0"
"201309",,"892","3"
"201309","BRONX","371","1"
"201309","BROOKLYN","841","2"
"201309","MANHATTAN","745","1"
"201309","QUEENS","654","1"
"201309","STATEN ISLAND","170","0"
"201310",,"830","0"
"201310","BRONX","453","0"
"201310","BROOKLYN","923","2"
"201310","MANHATTAN","759","2"
"201310","QUEENS","789","1"
"201310","STATEN ISLAND","215","0"
"201311",,"853","4"
"201311","BRONX","412","1"
"201311","BROOKLYN","862","0"
"201311","MANHATTAN","798","0"
"201311","QUEENS","718","1"
"201311","STATEN ISLAND","172","0"
"201312",,"894","1"
"201312","BRONX","396","0"
"201312","BROOKLYN","812","1"
"201312","MANHATTAN","724","0"
"201312","QUEENS","747","1"
"201312","STATEN ISLAND","199","0"
"201313",,"726","3"
"201313","BRONX","330","0"
"201313","BROOKLYN","735","0"
"201313","MANHATTAN","697","0"
"201313","QUEENS","740","0"
"201313","STATEN ISLAND","144","0"
"201314",,"806","1"
"201314","BRONX","346","0"
"201314","BROOKLYN","821","3"
"201314","MANHATTAN","745","1"
"201314","QUEENS","688","1"
"201314","STATEN ISLAND","171","0"
"201315",,"866","1"
"201315","BRONX","379","0"
"201315","BROOKLYN","953","0"
"201315","MANHATTAN","820","0"
"201315","QUEENS","763","0"
"201315","STATEN ISLAND","187","0"
"201316",,"908","0"
"201316","BRONX","399","0"
"201316","BROOKLYN","881","1"
"201316","MANHATTAN","781","1"
"201316","QUEENS","702","1"
"201316","STATEN ISLAND","157","0"
"201317",,"926","1"
"201317","BRONX","377","0"
"201317","BROOKLYN","910","1"
"201317","MANHATTAN","772","0"
"201317","QUEENS","731","1"
